Trend Name,Search Volume,Time Ago,Growth %,Related Searches
"h1b visa","200K+","11h ago","1,000%",""
"iowa vs rutgers","200K+","19h ago","1,000%","rutgers football; iowa football; rutgers"
"cruz azul - juárez","50K+","4h ago","1,000%","cruz azul vs"
"tulsa vs oklahoma st","100K+","6h ago","1,000%","oklahoma state football"
"phillies vs diamondbacks","20K+","4h ago","1,000%","diamondbacks; arizona diamondbacks"
"mariners vs astros","50K+","5h ago","1,000%","bryan woo; bryan woo injury; astros game"
"tijuana - león","20K+","2h ago","1,000%","tijuana vs leon"
"russian jets estonian airspace violation","20K+","9h ago","500%","estonia; vladimir putin"
"release party of a showgirl","200K+","12h ago","700%","taylor swift movie; life of a showgirl movie"
"brewers vs cardinals","20K+","5h ago","1,000%","jacob misiorowski; sonny gray"
"red sox vs rays","20K+","6h ago","1,000%","jarren duran"
"gta 6 release date update","20K+","10h ago","500%",""
"dodgers","50K+","50K+ searches·trending_upActive·50m ago","50%","dodger game; dodger game today"
"braves vs tigers","20K+","7h ago","1,000%","tigers game"
"blue jays vs royals","20K+","6h ago","1,000%","max scherzer"
"mazatlán - atlas","10K+","2h ago","1,000%","mazatlan vs atlas"
"india vs oman","50K+","15h ago","900%","ind vs oman"
"nationals vs mets","20K+","6h ago","1,000%","jose siri"
"marlins vs rangers","10K+","5h ago","900%","marlins; miami marlins"
"the moon venus","50K+","12h ago","400%","what planet is next to the moon tonight; venus"
"guardians vs twins","20K+","5h ago","1,000%","guardians score; guardians game; parker messick"
"kanye documentary 2025","20K+","10h ago","200%","kanye west documentary"
"ted cruz","20K+","10h ago","700%","alex clark"
"kat abughazaleh","10K+","12h ago","300%","broadview il"
"liberty vs mercury","50K+","4h ago","600%","phoenix mercury; ny liberty; new york liberty"
